item_code,item_description,china_or_local,lead_time_days,total_sales,avg_daily_sales,stddev_qty,safety_stock,reorder_level,maximum_level
ADWG,HD AUTO D.WELDING LENS,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
ADBW003-A,17x280MM HEX POINT CHISEL,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
ACID5003,MOSAIC FLUID 20L,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
ACID5002,3L MOSAIC FLUID 20%,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
ACD-AKI-A0440,"4""x40T AKICUT ALUM CUT/D",LOCAL STOCK,5,2,0.0167,0.18,1,1,1
JLM-200A - CSP,JLM200A TSUNAMI AUTO PUMP,LOCAL STOCK,5,2,0.0167,0.13,1,1,1
JLM-400A,JLM400A TSUNAMI AUTO PUMP,LOCAL STOCK,5,2,0.0167,0.13,1,1,1
JLM-800A,JLM800A TSUNAMI AUTO PUMP,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
ACC004,SINK TAP ADAPTOR,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
AC-331ML 3-IN-ONE,3-IN-1 AIR-COND CLEANER,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
JOI3X2,3 X 2 R.O JOINT,LOCAL STOCK,5,2,0.0167,0.13,1,1,1
JOI3X4,3 X 4 R.O JOINT,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
"JOPEX FLEXIBLE HOSE 48""","JOPEX FLEXIBLE HOSE 48""",LOCAL STOCK,5,1,0.0083,0.09,1,1,1
"JOPEX FLEXIBLE HOSE 60""","JOPEX FLEXIBLE HOSE 60""",LOCAL STOCK,5,2,0.0167,0.13,1,1,1
JOPEX STOPCOCK 2SC01W-20MM,"JOPEX 2SC01W STOPCOCK 3/4""",LOCAL STOCK,5,2,0.0167,0.18,1,1,1
ABB800-SN-04A,"31604 4"" ALUM BARREL BOLT",LOCAL STOCK,5,1,0.0083,0.09,1,1,1
AA AUTO CABLE 2.50MM - BLUE,PVC CABLE 2.50MM BLUE,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
AA AUTO CABLE 1.50MM - RED,PVC CABLE 1.50MM-RED,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
AA AUTO CABLE 1.50MM - GRN,PVC CABLE 1.50MM-GRN,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
AA AUTO CABLE 1.50MM - BLK,PVC CABLE 1.50MM-BLK,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
A92BP2M,ENERGIZER GOLD AL AAA 2 PC,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
JV-R104,"HUN 1/2"" S/S LEVER S/COCK",LOCAL STOCK,5,1,0.0083,0.09,1,1,1
JX-ABT2168KBT,"2168 1/2"" B. L/KEY BIB TAP",LOCAL STOCK,5,1,0.0083,0.09,1,1,1
A919-18L-10222,MAXILITE 10222 BLK 18L,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
A76BP2G,ENERGIZER MINI AL A76 BP2,LOCAL STOCK,5,2,0.0167,0.13,1,1,1
A4041,"A4041 4"" X 40T C.SAW BLADE",LOCAL STOCK,5,1,0.0083,0.09,1,1,1
A2PM,358 2 PIN PLUG (M),LOCAL STOCK,5,1,0.0083,0.09,1,1,1
A208,A208 22X6MM TILE CUTTING BLADE,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
A118,0.5MM S/STEEL CEMENT TROWEL,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
A058,TAIWAN MINI GLUE STICK,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
A026D,3-22MM ATC206 MINI TUBE CUTTER,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
A-3734,"1/2""-3/4"" PIPE EXTRACTOR",LOCAL STOCK,5,1,0.0083,0.09,1,1,1
9X160MM KNIGHT SDS DRIL BIT,9 X 160MM SDS D/BIT,LOCAL STOCK,5,2,0.0167,0.13,1,1,1
KDK FAN REGULATOR,KDK FAN REGULATOR,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
KEN-017,45MM CURTAIN RING,LOCAL STOCK,5,2,0.0167,0.18,1,1,1
KEN0116B,SIGN-400X500MM DILARANG MEROKOK,LOCAL STOCK,5,2,0.0167,0.13,1,1,1
KENO116QR,SIGN - 400 x 500MM DILARANG MEROKOK (RIGID PVC),LOCAL STOCK,5,1,0.0083,0.09,1,1,1
990210-MF,10 STEP D/SIDE LADDER,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
KH08,"5FT/60"" ALUMINIUM HDL",LOCAL STOCK,5,1,0.0083,0.09,1,1,1
990209-MF,9 STEP D/SIDE LADDER,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
KINKI 2 WAY SCREWDRIVER/SD-42W,KINKI 2 WAY S/DRIVER,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
"KIZ 1"" PVC C.BALL VALVE - TE","1"" PVC C.BALL VALVE - TE",LOCAL STOCK,5,1,0.0083,0.09,1,1,1
982 'GOCO' YELLOW RUBBER BOOT,982 SHORT YELLOW BOOT,LOCAL STOCK,5,2,0.0167,0.13,1,1,1
KIZ 1-1/2 PVC COMPACT B/VALVE,1-1/2 PVC C.BALL VALVE-TE,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
"KIZ 1-1/4"" PVC C.BALL VALVE SE","1-1/4"" PVC C.BALL VALVE-SE",LOCAL STOCK,5,1,0.0083,0.09,1,1,1
97-HT004,STRAIGHT BRASS ROD BRACKET,LOCAL STOCK,5,0,0,0.13,1,1,1
97-040-300,UHU TEXTILE BS 19ML,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
"KIZ 1/2"" BRASS/T PVC P/T TEE","1/2"" SYL BRASS PVC PT TEE",LOCAL STOCK,5,2,0.0167,0.13,1,1,1
"KIZ 1/2"" PVC B/VALVE TE","1/2"" PVC C.BALL VALVE TE",LOCAL STOCK,5,1,0.0083,0.09,1,1,1
"KIZ 1/2"" S/S FULL PORT B/VALVE","1/2"" S/STEEL BALL VALVE",LOCAL STOCK,5,2,0.0167,0.13,1,1,1
97-000-212,UHU THREADLOCKER BS 11G,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
"KIZ 106 3/4"" BRASS BALL VALVE","3/4"" B.VALVE CHROME PLATED BALL & HDL",LOCAL STOCK,5,2,0.0167,0.13,1,1,1
9696932974128/SHARPSTONE1009,"SHARPENING STONE 6""",LOCAL STOCK,5,1,0.0083,0.09,1,1,1
9555962801383/7070TP,70LIT STORAGE BOX TP,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
#326,326 FLEX/WALL SINK TAP,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
KIZ 32MM PE COMPACT BALL VALVE,KIZ 32MM PE C.BALL VALVE,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
"KIZ106 1"" ITALY BRASS B.VALVE","1"" BRASS BALL VALVE",LOCAL STOCK,5,2,0.0167,0.13,1,1,1
9555076604825/CCT3074B,ROOF COATING T BASE 5L,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
95-385,STANLEY HAND GREASE PUMP,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
916 GOLD-1LT,916 GOLD PAINT 1L,LOCAL STOCK,5,2,0.0167,0.13,1,1,1
91-LB250,"2"" X 5T X 10M CARGO BELT",LOCAL STOCK,5,1,0.0083,0.09,1,1,1
9089,EAV500# ANGLE VALVE,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
903/1 BOOTS,903 BLK RAIN BOOTS,LOCAL STOCK,5,2,0.0167,0.13,1,1,1
9010,"ESC18 1/2"" S/S CONCEALED S/COCK",LOCAL STOCK,5,2,0.0167,0.13,1,1,1
KPB,P-CAR SIGN STICKER 2'S,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
KPL,L MOTOR STICKER 2'S,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
KSB015,SIGN - NO PARKING,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
KSB016,SIGN - NO SMOKING,LOCAL STOCK,5,2,0.0167,0.18,1,1,1
KSB025,SIGN - DO NOT STAND ON TOILET BOWL,LOCAL STOCK,5,2,0.0167,0.18,1,1,1
KSB029,SIGN - SHOPLIFTERS W.B PROSRCUTED,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
KSB231,SIGN - SURAU PEREMPUAN / KIBLAT,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
KSB2583,SIGN - PUSH / PULL,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
KSB2583M,SIGN - TOLAK / TARIK,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
KSB315,SIGN -NO PARKING,LOCAL STOCK,5,2,0.0167,0.18,1,1,1
KSB319,SIGN - PUSH,LOCAL STOCK,5,2,0.0167,0.13,1,1,1
KSB3548,SIGN - DANGER,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
KT-2008 KOREA GAS TORCH,KT2008 KOREA GAS TORCH,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
KT-NF3013A,K.TOYO ALUM BODY KNIFE,LOCAL STOCK,5,2,0.0167,0.18,1,1,1
KT2500L-PH1,PH1 X 80MM KT I.DRIVER BIT,LOCAL STOCK,5,2,0.0167,0.18,1,1,1
KW707,KW707 KOREA GAS TORCH,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
90067/1001 PVC BIDET SET,90067/1001  PVC BIDET SET,LOCAL STOCK,5,2,0.0167,0.13,1,1,1
90037655,UHU ALL PURPOSE POWER 33ML,LOCAL STOCK,5,2,0.0167,0.13,1,1,1
90037625,UHU CONTACT LIQUID 33ML,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
90037615,UHU SUPER GLUE GEL 3G,LOCAL STOCK,5,2,0.0167,0.13,1,1,1
90037595,UHU UNIVERSAL PLASTIC 33ML,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
L-TYPE LONG HEX KEY 14.0MM,L-TYPE LONG HEX KEY 14.0MM,LOCAL STOCK,5,2,0.0167,0.13,1,1,1
90037590,UHU EXPANDED POLYSTYRENE 33ML,LOCAL STOCK,5,2,0.0167,0.18,1,1,1
90037555,UHU EPOXY QUICK SET 2x10ML,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
L2024-18WB,LYKEN 18W BLUE LED T5,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
L2024-18WR,LYKEN 18W RED T5,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
L228-SMR18D,18W 6500K R/SURFACE D/L,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
L33-2,552 BIGROW AB PADLOCK,LOCAL STOCK,5,2,0.0167,0.13,1,1,1
L5000MB,L5000 M.BLK CYLINDRICAL/L,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
90036355,UHU MAX REPAIR 8G,LOCAL STOCK,5,2,0.0167,0.13,1,1,1
90-037-545,UHU EPOXY QUICK SET SYRINGE 14ML,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
9.5MM JH JOBBER DRILL,9.5MM JH JOBBER DRILL,LOCAL STOCK,5,2,0.0167,0.18,1,1,1
9.0METER BERRYLION SPRING PIPE,9M SPRING PIPE (COIL HOSE),LOCAL STOCK,5,2,0.0167,0.18,1,1,1
"9"" LONG CEILING-IN TYPE 2 HOLE FAN HOOK (122)","9"" 122 U FAN HOOK",LOCAL STOCK,5,2,0.0167,0.13,1,1,1
"9"" DOCKER M/PURPOSE TIN SNIP","9"" MULTI-PERPOSE TIN SNIP",LOCAL STOCK,5,2,0.0167,0.18,1,1,1
LC004ASH,LACO 004 ADJ SHOWER HOLDER,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
LC07ASHC,LC07 ADJ SHOWER HOLDER,LOCAL STOCK,5,2,0.0167,0.13,1,1,1
LC301R,"301 S/S R.SHOWER 8""(ROUND)",LOCAL STOCK,5,2,0.0167,0.13,1,1,1
ZPBH-0100,"ZINC PLATED BOX HDL 4""",LOCAL STOCK,5,1,0.0083,0.09,1,1,1
LC3101R,"3101R 4"" S/S SHOWER ROSE & ARM (ROUND)",LOCAL STOCK,5,1,0.0083,0.09,1,1,1
LC329SSTWT,329 S/S TWO WAP TAP,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
8OZ DOMINO RUBBER MALLET HAMME,8oz RUBBER HAMMER,LOCAL STOCK,5,2,0.0167,0.13,1,1,1
LC401L38,LACO 401LB-38B ONE PIECE DUAL FLUSH VALVE,LOCAL STOCK,5,2,0.0167,0.13,1,1,1
LC40BSBHO,40 BRASS BIDET HEAD,LOCAL STOCK,5,2,0.0167,0.13,1,1,1
LC4X4SSFGWF,"4""X4"" S/S FLOOR GRATING",LOCAL STOCK,5,2,0.0167,0.13,1,1,1
LC602BAVBB,602 BRASS ANGLE VALVE,LOCAL STOCK,5,2,0.0167,0.13,1,1,1
8MM S/STEEL LINK CHAIN,8MM S/STEEL LINK CHAIN,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
8MM PE ROPE (GREEN),8MM PE ROPE (GRN),LOCAL STOCK,5,1,0.0083,0.09,1,1,1
LCCS03CNC,CS-03 CAP & CYLINDER S/COCK,LOCAL STOCK,5,2,0.0167,0.13,1,1,1
LCCSC12MM,"1/2"" CONCEAL CROSS S/COCK",LOCAL STOCK,5,1,0.0083,0.09,1,1,1
LCLP16,"SHOWER ARM 16""",LOCAL STOCK,5,1,0.0083,0.09,1,1,1
LCRSC18MM,"3/4"" ROUND HDL S/COCK",LOCAL STOCK,5,1,0.0083,0.09,1,1,1
LCVSG3000-SSET,V3000SS CYLINDRICAL LOCK,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
LED T8 WHITE XIN HUA,LED T8 WHITE XIN HUA,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
866581008,"2-1/2"" X 1"" RUBBER CONNE",LOCAL STOCK,5,1,0.0083,0.09,1,1,1
LEGRAND ELOE 1G TV FEMALE SOCKET,1G TV FEMALE SOCKET 618026,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
866581007,"2"" X 1"" RUBBER CONNE",LOCAL STOCK,5,1,0.0083,0.09,1,1,1
848-300D,SOBO WP300(D) PUMP,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
"LEON S/S CLOTH HOOK 3""","S/S CLOTH HOOK 3""",LOCAL STOCK,5,1,0.0083,0.09,1,1,1
LEON S/S WALL BASIN TAP SSMB805,SSMB-805 S/S BASIN TAP BLK,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
"LEON109#1/2"" 3WAY MINI B.VALVE","LEON 1/2"" 3WAY B.VALVE",LOCAL STOCK,5,1,0.0083,0.09,1,1,1
84-GT516,"10-1/2"" GARDEN FORK",LOCAL STOCK,5,2,0.0167,0.13,1,1,1
LF24-H,2X40 T8 LED CASING (H),LOCAL STOCK,5,2,0.0167,0.13,1,1,1
LH-1015 AIR-COND BRACKET,LH1015 AIR-COND BRAC,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
84-GT301,3PCS S/S GARDEN TOOLS,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
LH380-AC,H380AC ENTRANCE LOCK,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
LHBC,BC LAMP HOLDER BLK,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
8076170,617 CONTOUR WASHING BRUSH,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
LHH2104,2104SS HOLLOW LEVER HDL,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
8072050,MY205 WASHING BRUSH,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
8039000K,90 4' NYLON BROOM,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
803737P,737P 4' NYLON BROOM,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
803/1603 LABOUR SHOES,803/1603 LABOUR SHOES,LOCAL STOCK,5,2,0.0167,0.13,1,1,1
803-SILVER ANCHOR,803 SILVER ANCHOR,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
LK-085,R8 CQ,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
LK-A12 / ROFLASHING1005,"8' x 12"" FLASHING",LOCAL STOCK,5,1,0.0083,0.09,1,1,1
LK-A120,1X20 T8 LED ANTICOR/F,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
LK604-W,18W 3000K T8 LED COLOUR,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
LKAS502,SOLEX 50MMx2PC KA PADLOCK,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
801H240,PB24H 5' PUSH BROOM (HARD),LOCAL STOCK,5,1,0.0083,0.09,1,1,1
801H120,PB12H H/D PUSH BROOM,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
8017060,706 2 FUNC CAR WIPER,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
LOCAL SAW SET,LOCAL SAW SET,LOCAL STOCK,5,2,0.0167,0.13,1,1,1
80-RD119,UTILITY CUTTER BLADE,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
"8"" X 10"" TRIANGLE BRACKET","8"" X 10"" L BRACKET",LOCAL STOCK,5,1,0.0083,0.09,1,1,1
"8"" LONG CEILING-IN TYPE 2 HOLE FAN HOOK (122)","8"" 122 U FAN HOOK",LOCAL STOCK,5,2,0.0167,0.18,1,1,1
LORRY REFLEC. STICKER C120,REFLECT STICKER RED/YLW,LOCAL STOCK,5,2,0.0167,0.18,1,1,1
LP300-60,SGPL-300/601 60MM ARMOURED PADLOCK,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
LP500-50(N),50MM ANTI CUT PADLOCK,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
LP500-504(N),50MM X 4PCS PADLOCK,LOCAL STOCK,5,1,0.0083,0.16,1,1,1
LP950/HISAKI 2-STROKE GENERATO,LP950 GASOLINE GENERATOR,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
LR44(A76),LR44 1.5V ALKALINE BATTERY (A76),LOCAL STOCK,5,1,0.0083,0.09,1,1,1
"8"" H/D S/STEEL DOOR LOCK LATCH","8"" S/S HD BOLT LATCH",LOCAL STOCK,5,1,0.0083,0.09,1,1,1
"8"" FAUCET WRENCH TOOLS PBT-60","8"" FAUCET WRENCH",LOCAL STOCK,5,1,0.0083,0.09,1,1,1
"8"" DOCKER PVC FLEXIBLE HOSE BL","8"" PVC FLEX/HOSE-WHT/BL",LOCAL STOCK,5,1,0.0083,0.16,1,1,1
"8"" COLD CHISEL POINT","8"" COLD CHISEL POINT",LOCAL STOCK,5,2,0.0167,0.13,1,1,1
"8"" BERRYLION FILE STEEL TRIANG","8"" STEEL TRIANGLE FILE",LOCAL STOCK,5,2,0.0167,0.13,1,1,1
"8"" BERRYLION FILE STEEL HALF ROUND","8"" STEEL HALF ROUND FILE",LOCAL STOCK,5,2,0.0167,0.13,1,1,1
LSE 100A CUT OUT UNIT C/W FUSE,100A CUT OUT W/FUSE BAHAYA,LOCAL STOCK,5,2,0.0167,0.18,1,1,1
8 MM GLASS DRILL BIT - FLAT,8MM GLASS BIT - FLAT,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
780X790X480MM S/STEEL RACK SET,780X790X480 S/S SINK & RACK,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
LSE 13A/2G METAL CLAD S/SOC,2X13A METAL CLAD S/SOC,LOCAL STOCK,5,2,0.0167,0.18,1,1,1
LSE 15M WIRE PULLER (PINK),15M CABLE PULLER PINK,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
75MM KHHS,75MM HSS HOLE SAW,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
75ML SUNLUX GP YLW,75ML GLOSS PAINT YLW,LOCAL STOCK,5,2,0.0167,0.13,1,1,1
75ML SUNLUX GP RED,75ML GLOSS PAINT RED,LOCAL STOCK,5,2,0.0167,0.13,1,1,1
75ML SUNLUX GP GRN,75ML GLOSS PAINT GRN,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
LSE WP2013A-DSS 13A DOU,LSE DOU W/PROOF S/SOC BLK,LOCAL STOCK,5,2,0.0167,0.13,1,1,1
LSE WP313A-SS 13A W/P COMBINAT,WP313A-SS W/PROOF S/SOC,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
75ML SUNLUX GP BRW,75ML GLOSS PAINT BRW,LOCAL STOCK,5,2,0.0167,0.13,1,1,1
75ML SUNLUX GP BL,75ML GLOSS PAINT BLUE,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
"#346 3/4""","3/4"" STRAIGHT TOWEL BRAC",LOCAL STOCK,5,1,0.0083,0.09,1,1,1
74-GP303/MADD005,"3JAW X3""GEAR PULLER",LOCAL STOCK,5,1,0.0083,0.09,1,1,1
74# SAMURAI METALLIC,SAMURAI SPRAY PAINT 74#,LOCAL STOCK,5,2,0.0167,0.18,1,1,1
72MMX25M ALUM FOIL TAPE/FT-3A,72MMx25M ALUM FOIL TAPE,LOCAL STOCK,5,2,0.0167,0.13,1,1,1
724-GSEC,724 SAFETY VEST GRN,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
M-12UJ,"1/2"" UNIVERSAL JOINT",LOCAL STOCK,5,1,0.0083,0.09,1,1,1
M-999021,999021 AUTOCUT CARBON.B,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
M-999043/HL043,999043 AUTOCUT CARBON.B,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
M-999044,999044 AUTOCUT CARBON.B,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
#4229x400g,SILENT TRIMMER LINE 400G,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
M-B803,B803 AUTOCUT CARBON.B,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
716# SAFETY VEST BLACK,716 SAFETY VEST BLK,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
M-BS6M-08/HS-06P-08,1/2'' R.L/SOCKET 6P M08,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
M-BS6M-10/HS-06P-10,1/2'' R.L/SOCKET 6P M10,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
M-BS6M-13/HS-06P-13,1/2'' R.L/SOCKET 6P M13,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
M-BS6M-14/HS-06P-14,1/2'' R.L/SOCKET 6P M14,LOCAL STOCK,5,2,0.0167,0.13,1,1,1
#6136,6136 R'KEY EAR MUFF,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
M-BS6M-17/HS-06P-17,1/2'' R.L/SOCKET 6P M17,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
M-BS6M-18/HS-06P-18,1/2'' R.L/SOCKET 6P M18,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
M-BS6M-20,1/2'' R.L/SOCKET 6P M20,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
M-CB100,CB100 AUTOCUT CARBON.B,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
7143,BAH13 SHOWER HOLDER,LOCAL STOCK,5,2,0.0167,0.18,1,1,1
M-CB203,CB203 AUTOCUT CARBON.B,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
M-CB303/HL303,CB303 AUTOCUT CARBON.B,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
M-CB325,CB325 AUTOCUT CARBON.B,LOCAL STOCK,5,2,0.0167,0.13,1,1,1
M-DBS6M-08/HS-06PL-08,"1/2"" D.L/SOCKET 6PT M08",LOCAL STOCK,5,2,0.0167,0.13,1,1,1
M-DBS6M-11/HS-06PL-11,"1/2"" D.L/SOCKET 6PT M11",LOCAL STOCK,5,1,0.0083,0.09,1,1,1
M-DBS6M-14/HS-06PL-14,"1/2"" D.L/SOCKET 6PT M14",LOCAL STOCK,5,1,0.0083,0.09,1,1,1
M-DBS6M-18/HS-06PL-18,"1/2"" D.L/SOCKET 6PT M18",LOCAL STOCK,5,1,0.0083,0.09,1,1,1
M-DBS6M-19/HS-06PL-19,"1/2"" D.L/SOCKET 6PT M19",LOCAL STOCK,5,2,0.0167,0.13,1,1,1
M-DBS6M-21/HS-06PL-21,"1/2"" D.L/SOCKET 6PT M21",LOCAL STOCK,5,1,0.0083,0.09,1,1,1
M-DBS6M-23,"1/2"" D.L/SOCKET 6PT M23",LOCAL STOCK,5,1,0.0083,0.09,1,1,1
M10 ADAPTOR POLISH PAD/XSP-SCM10,M10 ADAPTOR POLISH PAD,LOCAL STOCK,5,2,0.0167,0.13,1,1,1
70MM KNIGHT TCT HOLE SAW,70MM TCT HOLE SAW,LOCAL STOCK,5,2,0.0167,0.18,1,1,1
70100(12),"1011 12"" TYRE LEVER",LOCAL STOCK,5,2,0.0167,0.18,1,1,1
M10X1.50MM SKC HAND TAPS-801,M10X1.5MM SKC HAND TAPS,LOCAL STOCK,5,2,0.0167,0.13,1,1,1
70# SAMURAI METALLIC,SAMURAI SPRAY 70#,LOCAL STOCK,5,2,0.0167,0.18,1,1,1
"7/8"" X 3/8"" X 6"" INSULATION","7/8""x3/8""x6' INSULATION K-FLEX",LOCAL STOCK,5,1,0.0083,0.09,1,1,1
"7/8"" KNIGHT SDS A/BIT","7/8"" SDS AUGER BIT",LOCAL STOCK,5,1,0.0083,0.09,1,1,1
M12X1.5MM SKC HAND TAPS-801,M12x1.5MM SKC HAND TAPS,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
M14X1.25MM SKC HAND TAPS-801,M14X1.25MM SKC HAND TAPS,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
M16X1.5MM SKC HAND TAPS-801,M16x1.5MM SKC HAND TAPS,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
"7/8"" KNIGHT COMBINATION AUGE","7/8"" COMBINATION AUGER/B",LOCAL STOCK,5,2,0.0167,0.13,1,1,1
"7/8"" HOSE CLIP W/YLW PVC HDL",7/8# HOSE CLIP W/PVC HDL,LOCAL STOCK,5,2,0.0167,0.18,1,1,1
7.6 X 350MM BLK CABLE TIE,7.6 X 350MM BLK CABLE TIE,LOCAL STOCK,5,2,0.0167,0.13,1,1,1
7.6 X 250MM WHT CABLE TIE,7.6 X 250MM WHT CABLE TIE,LOCAL STOCK,5,2,0.0167,0.13,1,1,1
7.5MM JH JOBBER DRILL,7.5MM JH JOBBER DRILL,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
"7""X60T","7"" X 60T C.SAW BLADE WOOD",LOCAL STOCK,5,1,0.0083,0.09,1,1,1
"7""X1.2MM DOMINO HD B/T - ROUND","7""x1.2 HD B/TROWEL - R",LOCAL STOCK,5,1,0.0083,0.09,1,1,1
M4X38MM CHIP BOARD SCREW(HQ),38MM CHIP BOARD SCREW,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
"7"" TRIANGULAR RULER SQUARE","7"" TRIANGULAR RULER SQ",LOCAL STOCK,5,1,0.0083,0.09,1,1,1
M7334439080,"3M 14439 4""x2.5MM FLEX WHEEL 80+",LOCAL STOCK,5,1,0.0083,0.09,1,1,1
M7350690001/3MMBHP,"3M HAND PAD 6""X9""",LOCAL STOCK,5,2,0.0167,0.13,1,1,1
6X8X0.8 WHITE L-BRACKET,6 X 8 X 0.8 L-BRACKET,LOCAL STOCK,5,2,0.0167,0.13,1,1,1
6U6,"3/8"" CONNECTOR",LOCAL STOCK,5,1,0.0083,0.09,1,1,1
6MM PP ROPE,6MM PP ROPE,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
6MM PE ROPE (GREEN),6MM PE ROPE (GRN),LOCAL STOCK,5,1,0.0083,0.09,1,1,1
69-256,STANLEY L/ARM HEX KEY BALL METRIC,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
68-SB225,2 X 25MM (+) S/DRIVER BIT,LOCAL STOCK,5,1,0.0083,0.09,1,1,1
